,,,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,,,,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022
State_Code,State,District,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),State_Code,State,District,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered)
AS,Assam,Lakhimpur,1344498,6154,9,769572,574926,655474,688838,186,140047,1204451,AS,Assam,Lakhimpur,1351569.0,80603.0,104.0,772732.0,578756.0,659092.0,692209.0,187.0,143366.0,1208203.0
AS,Assam,Majuli,252440,4640,30,136894,115546,127315,125099,26,24898,227542,AS,Assam,Majuli,252964.0,5339.0,34.0,137024.0,115870.0,127551.0,125317.0,26.0,25091.0,227873.0
AS,Assam,Morigaon,1119511,28529,28,683971,435540,530837,588554,120,76001,1043510,AS,Assam,Morigaon,1126328.0,172464.0,106.0,685016.0,440762.0,534174.0,591483.0,121.0,76692.0,1049636.0
AS,Assam,Nagaon,2254310,46211,47,1318006,936304,1062197,1191792,321,115604,2138706,AS,Assam,Nagaon,2268596.0,126928.0,130.0,1322442.0,945764.0,1068644.0,1199241.0,321.0,119515.0,2149081.0
AS,Assam,Nalbari,934828,7588,28,537380,397448,453751,480961,116,48757,886071,AS,Assam,Nalbari,941427.0,32732.0,72.0,540534.0,400755.0,457205.0,483966.0,118.0,51965.0,889462.0
AS,Assam,Sivasagar,900979,4800,15,516653,384326,445175,455661,143,58527,842452,AS,Assam,Sivasagar,908348.0,22170.0,66.0,519087.0,389097.0,448996.0,459045.0,143.0,60391.0,847957.0
AS,Assam,Sonitpur,1542160,9774,46,851418,690742,738311,803600,249,527647,1014513,AS,Assam,Sonitpur,1549142.0,40596.0,168.0,854429.0,694337.0,741606.0,806910.0,250.0,532218.0,1016924.0
AS,Assam,South Salmara Mankachar,453902,28840,41,264948,188954,227062,226789,51,50414,403488,AS,Assam,South Salmara Mankachar,456685.0,28400.0,43.0,266482.0,190203.0,228326.0,228308.0,51.0,52235.0,404450.0
AS,Assam,Tinsukia,1488226,4453,18,911863,576363,728961,759014,251,71644,1416582,AS,Assam,Tinsukia,1497310.0,42178.0,120.0,913953.0,582858.0,733353.0,763203.0,255.0,73458.0,1423852.0
AS,Assam,Udalguri,914858,1700,3,583132,331726,444799,469959,100,35385,879473,AS,Assam,Udalguri,923870.0,39775.0,115.0,584895.0,338911.0,449144.0,474559.0,103.0,36974.0,886896.0
AS,Assam,West Karbi Anglong,246274,72800,44,173679,72595,126138,120104,32,20391,225883,AS,Assam,West Karbi Anglong,248082.0,117600.0,59.0,174792.0,73284.0,127035.0,121009.0,32.0,21177.0,226905.0
