State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered)
Gujarat,Sabarkantha,1010746,20304,1095542,Gujarat,Sabarkantha,1010853.0,20350.0,1095610.0
Gujarat,Dang,126483,1415,165726,Gujarat,Dang,126489.0,1417.0,165735.0
Gujarat,Navsari,970496,16169,1012533,Gujarat,Navsari,970718.0,16825.0,1012721.0
Gujarat,Surat,1075012,8511,1377640,Gujarat,Surat,1075403.0,8579.0,1377979.0
Gujarat,Tapi,522340,4182,575753,Gujarat,Tapi,522353.0,4194.0,575773.0
Gujarat,Valsad,1330248,15504,1562922,Gujarat,Valsad,1330913.0,15962.0,1563536.0
Gujarat,Devbhumi Dwaraka,511732,6151,601624,Gujarat,Devbhumi Dwaraka,513110.0,6196.0,602803.0
Gujarat,Jamnagar,658372,9740,757964,Gujarat,Jamnagar,658394.0,9757.0,758004.0
Gujarat,Kutch,1445081,17246,1731440,Gujarat,Kutch,1446414.0,18277.0,1735936.0
Gujarat,Morbi,640417,5141,817172,Gujarat,Morbi,640516.0,5177.0,817306.0
Gujarat,Porbandar,398509,8746,439691,Gujarat,Porbandar,398664.0,9096.0,439801.0
Gujarat,Rajkot,1074473,12196,1276798,Gujarat,Rajkot,1074520.0,12268.0,1276890.0
Gujarat,Amreli,976402,12824,1041515,Gujarat,Amreli,976434.0,12838.0,1041578.0
Gujarat,Bhavnagar,1429300,5723,1534342,Gujarat,Bhavnagar,1429982.0,5734.0,1535540.0
Gujarat,Botad,380870,3208,416797,Gujarat,Botad,381027.0,3237.0,416925.0
Gujarat,Gir Somnath,879329,4654,960613,Gujarat,Gir Somnath,882905.0,4777.0,962253.0
Gujarat,Junagadh,1156846,7635,1220897,Gujarat,Junagadh,1157155.0,7831.0,1221261.0
Gujarat,Anand,1497311,19051,1620086,Gujarat,Anand,1498836.0,19447.0,1620913.0
Gujarat,Bharuch,1224198,16965,1511263,Gujarat,Bharuch,1225025.0,17206.0,1511840.0
Gujarat,Chhotaudepur,644328,5644,705382,Gujarat,Chhotaudepur,644558.0,6167.0,707207.0
Gujarat,Dahod,1519392,24063,1633868,Gujarat,Dahod,1519524.0,24172.0,1641503.0
Gujarat,Mahisagar,855964,13738,905834,Gujarat,Mahisagar,855977.0,14675.0,905893.0
Gujarat,Narmada,417864,3962,449403,Gujarat,Narmada,417866.0,3988.0,449405.0
Gujarat,Panchmahal,1130261,12972,1279298,Gujarat,Panchmahal,1130575.0,13188.0,1289034.0
Gujarat,Ahmedabad Corporation,3794964,52813,5065594,Gujarat,Ahmedabad Corporation,3801355.0,56218.0,5071330.0
Gujarat,Bhavnagar Corporation,448287,7750,507649,Gujarat,Bhavnagar Corporation,449969.0,7990.0,508726.0
Gujarat,Gandhinagar Corporation,294352,6853,389561,Gujarat,Gandhinagar Corporation,294447.0,7033.0,389705.0
Gujarat,Jamnagar Corporation,405458,6656,496356,Gujarat,Jamnagar Corporation,406012.0,6899.0,496798.0
Gujarat,Junagadh Corporation,279610,4693,305163,Gujarat,Junagadh Corporation,279690.0,5161.0,306899.0
Gujarat,Rajkot Corporation,986234,17935,1297245,Gujarat,Rajkot Corporation,986242.0,17937.0,1297251.0
Gujarat,Surat Corporation,3283243,18709,4557106,Gujarat,Surat Corporation,3287643.0,20324.0,4561406.0
Gujarat,Vadodara Corporation,1393504,25419,1634755,Gujarat,Vadodara Corporation,1394073.0,26849.0,1647174.0
Haryana,Kurukshetra,528408,1367,652406,Haryana,Kurukshetra,528881.0,1396.0,652852.0
Haryana,Panchkula,446734,4257,527243,Haryana,Panchkula,447041.0,4363.0,527572.0
Haryana,Gurgaon,2059772,12216,2853909,Haryana,Gurgaon,2064958.0,13049.0,2859548.0
Haryana,Jhajjar,588867,1188,786910,Haryana,Jhajjar,590012.0,1231.0,788066.0
Haryana,Kaithal,612586,1562,756080,Haryana,Kaithal,612755.0,1587.0,756289.0
Haryana,Hisar,841469,4183,1086249,Haryana,Hisar,842831.0,4240.0,1087731.0
Haryana,Rohtak,587300,1756,781477,Haryana,Rohtak,587989.0,1794.0,782319.0
Haryana,Ambala,904277,3266,1019702,Haryana,Ambala,904558.0,3419.0,1020005.0
Haryana,Sirsa,726303,1443,922017,Haryana,Sirsa,726601.0,1512.0,922349.0
Haryana,Panipat,698469,1813,1015028,Haryana,Panipat,701122.0,2004.0,1017608.0
Haryana,Fatehabad,437537,462,576396,Haryana,Fatehabad,438192.0,513.0,576985.0
Haryana,Yamunanagar,681487,2779,878463,Haryana,Yamunanagar,683661.0,2824.0,880006.0
Haryana,Sonipat,827073,1809,1146366,Haryana,Sonipat,828930.0,1992.0,1148432.0
Haryana,Faridabad,1445617,5317,1995839,Haryana,Faridabad,1450320.0,5817.0,2000825.0
Haryana,Bhiwani,712013,1702,814767,Haryana,Bhiwani,712617.0,1783.0,815241.0
Haryana,Charkhi Dadri,353596,1085,400088,Haryana,Charkhi Dadri,355613.0,1151.0,401332.0
Haryana,Rewari,612430,2753,768125,Haryana,Rewari,613165.0,2924.0,768921.0
Haryana,Karnal,885247,3520,1105907,Haryana,Karnal,885774.0,3630.0,1106539.0
Haryana,Jind,589137,1071,762452,Haryana,Jind,589765.0,1075.0,763108.0
Haryana,Nuh,277635,477,568165,Haryana,Nuh,278962.0,484.0,569402.0
Haryana,Mahendragarh,510590,1711,614407,Haryana,Mahendragarh,510845.0,1775.0,614639.0
Haryana,Palwal,517446,704,705970,Haryana,Palwal,519003.0,756.0,707365.0
Himachal Pradesh,Shimla,657620,3861,764166,Himachal Pradesh,Shimla,657620.0,3861.0,764166.0
Himachal Pradesh,Solan,635852,2463,836314,Himachal Pradesh,Solan,635852.0,2463.0,836314.0
Himachal Pradesh,Lahaul Spiti,25660,386,36032,Himachal Pradesh,Lahaul Spiti,25660.0,386.0,36032.0
Himachal Pradesh,Kullu,332487,1868,384223,Himachal Pradesh,Kullu,332487.0,1868.0,384223.0
Himachal Pradesh,Sirmaur,419345,2641,486349,Himachal Pradesh,Sirmaur,419346.0,2653.0,486351.0
Himachal Pradesh,Kangra,1156387,7995,1175785,Himachal Pradesh,Kangra,1156387.0,7995.0,1175785.0
Himachal Pradesh,Chamba,358191,2087,374574,Himachal Pradesh,Chamba,358191.0,2087.0,374574.0
Himachal Pradesh,Mandi,749471,8247,767826,Himachal Pradesh,Mandi,749471.0,8247.0,767826.0
Himachal Pradesh,Kinnaur,69747,1358,90153,Himachal Pradesh,Kinnaur,69747.0,1358.0,90167.0
Himachal Pradesh,Hamirpur,366164,2515,362859,Himachal Pradesh,Hamirpur,366164.0,2515.0,362859.0
Himachal Pradesh,Una,436068,2012,457079,Himachal Pradesh,Una,436068.0,2012.0,457079.0
Himachal Pradesh,Bilaspur,322614,1744,331197,Himachal Pradesh,Bilaspur,322614.0,1744.0,331197.0
Jammu and Kashmir,Srinagar,957575,8667,1171065,Jammu and Kashmir,Srinagar,964148.0,9299.0,1174801.0
Jammu and Kashmir,Kulgam,424373,1945,462712,Jammu and Kashmir,Kulgam,426154.0,1985.0,464125.0
Jammu and Kashmir,Shopian,206362,1364,239997,Jammu and Kashmir,Shopian,206372.0,1410.0,240005.0
Jammu and Kashmir,Bandipore,314689,1009,348385,Jammu and Kashmir,Bandipore,315118.0,1073.0,348890.0
Jammu and Kashmir,Anantnag,776038,3520,859285,Jammu and Kashmir,Anantnag,776176.0,3553.0,861019.0
Jammu and Kashmir,Baramulla,777078,4427,857128,Jammu and Kashmir,Baramulla,779104.0,5022.0,859778.0
Jammu and Kashmir,Kupwara,681738,1822,765920,Jammu and Kashmir,Kupwara,682374.0,1973.0,766452.0
Jammu and Kashmir,Pulwama,438540,3825,493995,Jammu and Kashmir,Pulwama,438667.0,3851.0,497209.0
Jammu and Kashmir,Ganderbal,230040,1254,265610,Jammu and Kashmir,Ganderbal,230060.0,1301.0,265727.0
Jammu and Kashmir,Budgam,604223,3574,694843,Jammu and Kashmir,Budgam,604239.0,3643.0,696270.0
Jammu and Kashmir,Jammu,1169576,17140,1340273,Jammu and Kashmir,Jammu,1171165.0,17799.0,1341249.0
Jammu and Kashmir,Kishtwar,145935,1126,174338,Jammu and Kashmir,Kishtwar,147488.0,1212.0,175218.0
Jammu and Kashmir,Doda,312524,4420,352802,Jammu and Kashmir,Doda,312585.0,4857.0,353183.0
Jammu and Kashmir,Udhampur,421832,4255,446606,Jammu and Kashmir,Udhampur,422364.0,4387.0,447064.0
Jammu and Kashmir,Kathua,483926,2065,539271,Jammu and Kashmir,Kathua,485396.0,2259.0,540299.0
Jammu and Kashmir,Ramban,219015,1361,266720,Jammu and Kashmir,Ramban,219533.0,1412.0,267184.0
Jammu and Kashmir,Samba,260713,3625,312688,Jammu and Kashmir,Samba,260842.0,3697.0,312801.0
Jammu and Kashmir,Rajouri,513169,2285,578422,Jammu and Kashmir,Rajouri,513331.0,2395.0,579049.0
Jammu and Kashmir,Poonch,380943,1300,445655,Jammu and Kashmir,Poonch,380994.0,1324.0,446219.0
Jammu and Kashmir,Reasi,251345,1986,290337,Jharkhand,Ranchi,1191755.0,8302.0,1588696.0
Jharkhand,Ranchi,1188083,7738,1584778,Jharkhand,Koderma,252559.0,575.0,331751.0
Jharkhand,Koderma,252330,541,331199,Jharkhand,Bokaro,791709.0,5790.0,1155101.0
Jharkhand,Bokaro,789324,5427,1140489,Jharkhand,Garhwa,407768.0,733.0,605316.0
Jharkhand,Garhwa,406331,700,603488,Jharkhand,Latehar,240879.0,2365.0,357020.0
Jharkhand,Latehar,239576,2315,355765,Jharkhand,Chatra,338232.0,1334.0,458850.0
Jharkhand,Chatra,336927,1301,457095,Jharkhand,Palamu,733197.0,1581.0,932853.0
Jharkhand,Palamu,730567,1432,927584,Jharkhand,East Singhbhum,1174413.0,5637.0,1457665.0
