18/01/2022,Chhattisgarh,Kawardha,966473,51520,42,581639,381758,3076,478296,484921,179,136071,830402
18/01/2022,Chhattisgarh,Gaurela Pendra Marwahi,358640,21100,24,225954,131789,897,172777,184917,49,43649,314991
18/01/2022,Dadra and Nagar Haveli and Daman and Diu,Daman,476971,4163,6,265148,211033,790,317293,158743,145,10629,466342
18/01/2022,Dadra and Nagar Haveli and Daman and Diu,Diu,80977,680,5,42899,37044,1034,40633,39290,20,3417,77560
18/01/2022,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,748082,48900,107,438790,307782,1510,515814,230652,105,22239,725843
18/01/2022,Delhi,New Delhi,2020656,97417,132,1080329,906866,33461,1183787,802892,515,692145,1328511
18/01/2022,Delhi,Central Delhi,2525096,46729,170,1503576,1008731,12789,1556579,955037,688,523938,2001158
18/01/2022,Delhi,West Delhi,3104673,73060,137,1761659,1328763,14251,1753024,1336421,977,820450,2268886
18/01/2022,Delhi,North West Delhi,3382167,126517,219,2002522,1367532,12113,1867619,1501192,1242,938655,2443512
18/01/2022,Delhi,South East Delhi,2783720,50012,113,1594086,1173697,15937,1617517,1149237,1027,799071,1939526
18/01/2022,Delhi,East Delhi,2283990,28476,140,1280571,994321,9098,1286621,987452,816,394652,1873883
18/01/2022,Delhi,North Delhi,2693968,71083,149,1572558,1112867,8543,1594221,1090275,929,496261,2197707
18/01/2022,Delhi,North East Delhi,2146645,69336,105,1348412,782788,15445,1180597,949773,830,395962,1750683
18/01/2022,Delhi,Shahdara,2005454,58172,134,1178780,818201,8473,1126920,869303,757,326753,1678701
18/01/2022,Delhi,South Delhi,2511091,30900,118,1449656,1044444,16991,1448479,1044930,689,474225,2023189
18/01/2022,Delhi,South West Delhi,3383089,61937,192,1891200,1476088,15801,1840710,1525341,1235,595785,2784925
18/01/2022,Goa,North Goa,1193005,22547,25,651081,536890,5034,674301,513550,119,55748,1137257
18/01/2022,Goa,South Goa,1333718,33808,27,722366,604877,6475,725263,601835,143,34635,1299083
18/01/2022,Gujarat,Gandhinagar,1764311,206649,139,907621,842043,14647,943590,805805,269,180817,1583494
