,,,15/01/2022,15/01/2022,15/01/2022,,,,16/01/2022,16/01/2022,16/01/2022
State_Code,State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),State_Code,State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered)
DL,Delhi,Central Delhi,1001011,10061,1544630,DL,Delhi,Central Delhi,1001372.0,10170.0,1546583.0
DL,Delhi,East Delhi,987182,6787,1275083,DL,Delhi,East Delhi,987978.0,7027.0,1276911.0
DL,Delhi,New Delhi,901688,25289,1176628,DL,Delhi,New Delhi,901733.0,25514.0,1176674.0
DL,Delhi,North Delhi,1102719,6959,1578056,DL,Delhi,North Delhi,1102737.0,6971.0,1578086.0
DL,Delhi,North East Delhi,774161,12515,1169416,DL,Delhi,North East Delhi,776831.0,12941.0,1172534.0
DL,Delhi,North West Delhi,1357247,9281,1847729,DL,Delhi,North West Delhi,1357587.0,9382.0,1848176.0
DL,Delhi,Shahdara,812478,6722,1118880,DL,Delhi,Shahdara,812773.0,6814.0,1119351.0
DL,Delhi,South Delhi,1038434,13696,1438551,DL,Delhi,South Delhi,1038528.0,13855.0,1438671.0
DL,Delhi,South East Delhi,1163686,11883,1604641,DL,Delhi,South East Delhi,1165374.0,12211.0,1606873.0
DL,Delhi,South West Delhi,1464019,12270,1821467,DL,Delhi,South West Delhi,1464721.0,12427.0,1823357.0
DL,Delhi,West Delhi,1319244,11168,1736958,DL,Delhi,West Delhi,1319275.0,11208.0,1736996.0
GA,Goa,North Goa,534740,3978,671938,GA,Goa,North Goa,534842.0,4001.0,672040.0
GA,Goa,South Goa,602825,5013,722980,GA,Goa,South Goa,602910.0,5080.0,723060.0
GJ,Gujarat,Ahmedabad,1360423,10826,1551168,GJ,Gujarat,Ahmedabad,1360626.0,10864.0,1551374.0
GJ,Gujarat,Ahmedabad,3794964,52813,5065594,GJ,Gujarat,Ahmedabad,3801355.0,56218.0,5071330.0
GJ,Gujarat,Amreli,976402,12824,1041515,GJ,Gujarat,Amreli,976434.0,12838.0,1041578.0
GJ,Gujarat,Anand,1497311,19051,1620086,GJ,Gujarat,Anand,1498836.0,19447.0,1620913.0
GJ,Gujarat,Aravalli,731252,12996,772360,GJ,Gujarat,Aravalli,731281.0,13023.0,772377.0
GJ,Gujarat,Banaskantha,2215968,12199,2465292,GJ,Gujarat,Banaskantha,2216749.0,12296.0,2465854.0
GJ,Gujarat,Bharuch,1224198,16965,1511263,GJ,Gujarat,Bharuch,1225025.0,17206.0,1511840.0
GJ,Gujarat,Bhavnagar,1429300,5723,1534342,GJ,Gujarat,Bhavnagar,1429982.0,5734.0,1535540.0
GJ,Gujarat,Bhavnagar,448287,7750,507649,GJ,Gujarat,Bhavnagar,449969.0,7990.0,508726.0
GJ,Gujarat,Botad,380870,3208,416797,GJ,Gujarat,Botad,381027.0,3237.0,416925.0
GJ,Gujarat,Chhota Udaipur,644328,5644,705382,GJ,Gujarat,Chhota Udaipur,644558.0,6167.0,707207.0
GJ,Gujarat,Dahod,1519392,24063,1633868,GJ,Gujarat,Dahod,1519524.0,24172.0,1641503.0
GJ,Gujarat,Dang,126483,1415,165726,GJ,Gujarat,Dang,126489.0,1417.0,165735.0
GJ,Gujarat,Devbhumi Dwarka,511732,6151,601624,GJ,Gujarat,Devbhumi Dwarka,513110.0,6196.0,602803.0
GJ,Gujarat,Gandhinagar,837298,10890,939644,GJ,Gujarat,Gandhinagar,837465.0,10934.0,939770.0
GJ,Gujarat,Gandhinagar,294352,6853,389561,GJ,Gujarat,Gandhinagar,294447.0,7033.0,389705.0
GJ,Gujarat,Gir Somnath,879329,4654,960613,GJ,Gujarat,Gir Somnath,882905.0,4777.0,962253.0
GJ,Gujarat,Jamnagar,658372,9740,757964,GJ,Gujarat,Jamnagar,658394.0,9757.0,758004.0
GJ,Gujarat,Jamnagar,405458,6656,496356,GJ,Gujarat,Jamnagar,406012.0,6899.0,496798.0
GJ,Gujarat,Junagadh,1156846,7635,1220897,GJ,Gujarat,Junagadh,1157155.0,7831.0,1221261.0
GJ,Gujarat,Junagadh,279610,4693,305163,GJ,Gujarat,Junagadh,279690.0,5161.0,306899.0
GJ,Gujarat,Kheda,1487720,15643,1638380,GJ,Gujarat,Kheda,1488271.0,15864.0,1638852.0
GJ,Gujarat,Kutch,1445081,17246,1731440,GJ,Gujarat,Kutch,1446414.0,18277.0,1735936.0
GJ,Gujarat,Mahisagar,855964,13738,905834,GJ,Gujarat,Mahisagar,855977.0,14675.0,905893.0
GJ,Gujarat,Mehsana,1353267,22047,1521257,GJ,Gujarat,Mehsana,1353533.0,22307.0,1521474.0
GJ,Gujarat,Morbi,640417,5141,817172,GJ,Gujarat,Morbi,640516.0,5177.0,817306.0
GJ,Gujarat,Narmada,417864,3962,449403,GJ,Gujarat,Narmada,417866.0,3988.0,449405.0
GJ,Gujarat,Navsari,970496,16169,1012533,GJ,Gujarat,Navsari,970718.0,16825.0,1012721.0
GJ,Gujarat,Panchmahal,1130261,12972,1279298,GJ,Gujarat,Panchmahal,1130575.0,13188.0,1289034.0
GJ,Gujarat,Patan,859212,12047,928771,GJ,Gujarat,Patan,859644.0,12178.0,929117.0
GJ,Gujarat,Porbandar,398509,8746,439691,GJ,Gujarat,Porbandar,398664.0,9096.0,439801.0
GJ,Gujarat,Rajkot,1074473,12196,1276798,GJ,Gujarat,Rajkot,1074520.0,12268.0,1276890.0
GJ,Gujarat,Rajkot,986234,17935,1297245,GJ,Gujarat,Rajkot,986242.0,17937.0,1297251.0
GJ,Gujarat,Sabarkantha,1010746,20304,1095542,GJ,Gujarat,Sabarkantha,1010853.0,20350.0,1095610.0
GJ,Gujarat,Surat,1075012,8511,1377640,GJ,Gujarat,Surat,1075403.0,8579.0,1377979.0
GJ,Gujarat,Surat,3283243,18709,4557106,GJ,Gujarat,Surat,3287643.0,20324.0,4561406.0
GJ,Gujarat,Surendranagar,1257711,8331,1359537,GJ,Gujarat,Surendranagar,1258662.0,8385.0,1360257.0
GJ,Gujarat,Tapi,522340,4182,575753,GJ,Gujarat,Tapi,522353.0,4194.0,575773.0
