,,,15/01/2022,15/01/2022,15/01/2022,,,,16/01/2022,16/01/2022,16/01/2022
State_Code,State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),State_Code,State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered)
UP,Uttar Pradesh,Pratapgarh,1474736,4893,1886757,UP,Uttar Pradesh,Pratapgarh,1509454.0,5520.0,1911920.0
UP,Uttar Pradesh,Prayagraj,2359044,12117,3245563,UP,Uttar Pradesh,Prayagraj,2402132.0,12724.0,3281237.0
UP,Uttar Pradesh,Rae Bareli,1253729,6612,1592277,UP,Uttar Pradesh,Rae Bareli,1283948.0,6799.0,1623654.0
UP,Uttar Pradesh,Rampur,793682,2909,1209205,UP,Uttar Pradesh,Rampur,806702.0,3105.0,1223898.0
UP,Uttar Pradesh,Saharanpur,1294087,6193,1845928,UP,Uttar Pradesh,Saharanpur,1307396.0,6944.0,1866290.0
UP,Uttar Pradesh,Sambhal,787773,1456,1144639,UP,Uttar Pradesh,Sambhal,813398.0,1505.0,1165791.0
UP,Uttar Pradesh,Sant Kabir Nagar,708827,1820,923466,UP,Uttar Pradesh,Sant Kabir Nagar,720754.0,1923.0,935860.0
UP,Uttar Pradesh,Shahjahanpur,1731064,6214,2286244,UP,Uttar Pradesh,Shahjahanpur,1767750.0,6627.0,2314325.0
UP,Uttar Pradesh,Shamli,444474,1367,666355,UP,Uttar Pradesh,Shamli,448868.0,1425.0,681989.0
UP,Uttar Pradesh,Shrawasti,450989,2383,635090,UP,Uttar Pradesh,Shrawasti,469496.0,2461.0,648627.0
UP,Uttar Pradesh,Siddharthnagar,1149382,6548,1505283,UP,Uttar Pradesh,Siddharthnagar,1156579.0,6696.0,1514727.0
UP,Uttar Pradesh,Sitapur,1648717,4173,2349265,UP,Uttar Pradesh,Sitapur,1697816.0,5429.0,2403592.0
UP,Uttar Pradesh,Sonbhadra,775906,2416,1090332,UP,Uttar Pradesh,Sonbhadra,783912.0,2663.0,1099765.0
UP,Uttar Pradesh,Sultanpur,1084303,4362,1451863,UP,Uttar Pradesh,Sultanpur,1087112.0,4440.0,1454347.0
UP,Uttar Pradesh,Unnao,1260836,5477,1736921,UP,Uttar Pradesh,Unnao,1287831.0,5721.0,1764476.0
UP,Uttar Pradesh,Varanasi,1812348,6803,2573821,UP,Uttar Pradesh,Varanasi,1817393.0,7188.0,2585282.0
UT,Uttarakhand,Almora,308742,4958,324727,UT,Uttarakhand,Almora,309018.0,5030.0,324935.0
UT,Uttarakhand,Bageshwar,160249,3634,167984,UT,Uttarakhand,Bageshwar,160292.0,3819.0,168016.0
UT,Uttarakhand,Chamoli,259652,4028,272369,UT,Uttarakhand,Chamoli,259717.0,4058.0,272469.0
UT,Uttarakhand,Champawat,164381,2083,177400,UT,Uttarakhand,Champawat,164421.0,2115.0,177447.0
UT,Uttarakhand,Dehradun,1350478,20482,1575840,UT,Uttarakhand,Dehradun,1352282.0,21141.0,1577693.0
UT,Uttarakhand,Haridwar,1317372,12271,1610501,UT,Uttarakhand,Haridwar,1319427.0,12473.0,1611953.0
UT,Uttarakhand,Nainital,646550,9089,740919,UT,Uttarakhand,Nainital,646914.0,9255.0,741282.0
UT,Uttarakhand,Pauri Garhwal,353096,4962,392726,UT,Uttarakhand,Pauri Garhwal,353137.0,4990.0,392765.0
UT,Uttarakhand,Pithoragarh,279783,4809,302231,UT,Uttarakhand,Pithoragarh,280765.0,5036.0,302979.0
UT,Uttarakhand,Rudraprayag,147193,1475,151967,UT,Uttarakhand,Rudraprayag,147619.0,1532.0,152186.0
UT,Uttarakhand,Tehri Garhwal,319581,3952,343169,UT,Uttarakhand,Tehri Garhwal,319843.0,3964.0,343333.0
UT,Uttarakhand,Udham Singh Nagar,1194670,6342,1401786,UT,Uttarakhand,Udham Singh Nagar,1196930.0,6547.0,1403654.0
UT,Uttarakhand,Uttarkashi,212399,4155,236161,UT,Uttarakhand,Uttarkashi,212415.0,4279.0,236178.0
WB,West Bengal,Alipurduar,820661,5397,940481,WB,West Bengal,Alipurduar,822476.0,5498.0,941498.0
WB,West Bengal,Bankura,1128461,7346,1467921,WB,West Bengal,Bankura,1131340.0,7724.0,1469540.0
WB,West Bengal,North 24 Parganas,1019312,2712,1294316,WB,West Bengal,North 24 Parganas,1021696.0,2724.0,1295607.0
WB,West Bengal,Birbhum,1093907,4376,1293598,WB,West Bengal,Birbhum,1094601.0,4416.0,1294031.0
WB,West Bengal,Bankura,525721,2501,668608,WB,West Bengal,Bankura,526662.0,2525.0,669420.0
WB,West Bengal,Cooch Behar,1124512,6008,1541221,WB,West Bengal,Cooch Behar,1125683.0,6072.0,1542871.0
WB,West Bengal,Dakshin Dinajpur,877751,5783,1005396,WB,West Bengal,Dakshin Dinajpur,878547.0,5976.0,1006232.0
WB,West Bengal,Darjeeling,1192031,8705,1318426,WB,West Bengal,Darjeeling,1192243.0,8740.0,1318592.0
WB,West Bengal,South 24 Parganas,1542867,8010,1839942,WB,West Bengal,South 24 Parganas,1543730.0,8186.0,1840426.0
WB,West Bengal,Purba Bardhaman,2058275,12909,2730013,WB,West Bengal,Purba Bardhaman,2058888.0,13296.0,2730513.0
WB,West Bengal,Hooghly,2771428,18407,3251216,WB,West Bengal,Hooghly,2779926.0,18880.0,3255968.0
WB,West Bengal,Howrah,2499213,11109,2992272,WB,West Bengal,Howrah,2501174.0,11427.0,2994473.0
WB,West Bengal,Jalpaiguri,976764,5536,1220975,WB,West Bengal,Jalpaiguri,980140.0,5729.0,1223176.0
WB,West Bengal,Jhargram,546097,2711,671093,WB,West Bengal,Jhargram,546180.0,2799.0,671141.0
WB,West Bengal,Kalimpong,170119,1232,188853,WB,West Bengal,Kalimpong,170126.0,1234.0,188859.0
WB,West Bengal,Kolkata,3931707,33151,4981588,WB,West Bengal,Kolkata,3932111.0,33462.0,4982251.0
WB,West Bengal,Malda,1298946,5211,1885742,WB,West Bengal,Malda,1302387.0,5475.0,1887850.0
WB,West Bengal,Murshidabad,2771049,12207,3798989,WB,West Bengal,Murshidabad,2774591.0,12514.0,3802578.0
WB,West Bengal,Nadia,2185377,14624,2853111,WB,West Bengal,Nadia,2185379.0,14628.0,2853115.0
WB,West Bengal,Purba Medinipur,1245933,9639,1309816,WB,West Bengal,Purba Medinipur,1246003.0,9647.0,1309866.0
WB,West Bengal,North 24 Parganas,4505719,14077,5163265,WB,West Bengal,North 24 Parganas,4507843.0,14441.0,5165506.0
WB,West Bengal,Paschim Medinipur,2218269,15690,2772282,WB,West Bengal,Paschim Medinipur,2228170.0,16470.0,2778146.0
WB,West Bengal,Purba Medinipur,2058207,16903,2124548,WB,West Bengal,Purba Medinipur,2058436.0,17032.0,2124753.0
WB,West Bengal,Purulia,1286485,3280,1638723,WB,West Bengal,Purulia,1289935.0,3618.0,1640957.0
WB,West Bengal,Birbhum,633572,876,767439,WB,West Bengal,Birbhum,633760.0,876.0,767524.0
WB,West Bengal,South 24 Parganas,2481228,6195,3007874,WB,West Bengal,South 24 Parganas,2482574.0,6205.0,3008591.0
WB,West Bengal,Uttar Dinajpur,1103724,6439,1505381,WB,West Bengal,Uttar Dinajpur,1115402.0,6682.0,1513355.0
WB,West Bengal,Paschim Bardhaman,1479640,7298,1809826,WB,West Bengal,Paschim Bardhaman,1479711.0,7320.0,1809908.0
